document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program
,64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,Stipulated Penalty,Patrick Noyes,12/28/2018,03/20/2019,Groundwater Discharge Permit;Surface Water Discharge Permit;Tidal Wetlands,Industrial Minor
,64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,Stipulated Penalty,Patrick Noyes,12/28/2018,03/20/2019,Groundwater Discharge Permit;Surface Water Discharge Permit;Tidal Wetlands,Municipal Minor
,65451,ABBERLY CREST PHASE 2,ABBERLY CREST DR,"Lexington Park,MD,20653",St. Mary's,Penalty Settlement,C-15-2283,07/09/2015,07/28/2015,Sediment,
,65587,Schumaker Landing,South Schumaker Drive,"Salisbury,MD,21802",Wicomico,,,,,Not Assigned,
,65703,Cerny Property 3647 Old Robin Hood Road,3647B Old Robin Hood Road,"Aberdeen,MD,21001",Harford,Consent Decree,CJ-09-0865,05/05/2009,09/22/2014,Sediment,
,65741,Fields Koros Property 2406 Philadelphia Road,2406 Philadelphia Rd,"Edgewood,MD,21040",Harford,Consent Decree,Kevin Bull,03/03/2017,01/23/2019,Sediment,
,65753,WILDEWOOD RETIREMENT VILLAGE,Wildewood Pkwy,"California,MD,20619",St. Mary's,Penalty Settlement,C-14-2029,11/08/2013,07/13/2016,Sediment,
,65753,WILDEWOOD RETIREMENT VILLAGE,Wildewood Pkwy,"California,MD,20619",St. Mary's,Penalty Settlement,PS-14-2103,06/04/2014,09/24/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,66021,Mehring Property culvert,"Charles Mehring, 1221 Bruceville Rd","Keymar,MD,21757",Carroll,Consent Decree,Joe Bieberich,12/04/2007,,Waterway Construction,
,66036,David Crothamel,69 Snug Harbor Way,"Earleville,MD,21913",Cecil,,,,,Not Assigned,
,66354,Chick-fil-A - La Plata-Building Addition,107 Drury Drive,"La Plata,MD,20646",Charles,,SCO-09-0886,,,Not Assigned,
,66471,"Greise Brothers Packing, Inc.",11901 Greise Farm Rd,"Cumberland,MD,21502",Allegany,Settlement Agreement,Julie Gowe,08/07/2013,05/01/2014,Surface Water Discharge Unauthorized,
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,
,66839,Garrison Forest Veterans Cemetary Expansion,Garrison Forest Veterans Cemetary,"Owings Mills,MD,21117",Baltimore,Penalty Settlement,PS-13-1807,01/13/2013,02/05/2013,Sediment,
,68447,"James Strippy, Jr.",2180 Potts Point Rd,"Huntingtown,MD,20639",Calvert,Consent Decree,CJ-13-1827,12/20/2012,07/14/2014,Tidal Wetlands,
,68563,William Steffey and Joseph Van Nest Steffey property,186 and 188 W. Lake Drive,"Annapolis,MD,21403",Anne Arundel,Settlement Agreement,SAP-13-1839,01/28/2013,07/14/2014,Tidal Wetlands,
,69296,"Willing, Frank",26455 High Banks Dr,"Salisbury,MD,21801",Wicomico,Consent Decree,Eastern,03/07/2016,12/05/2019,Tidal Wetlands,
,69699,Perlco Builders/tall Cedars/rd Xing,Tall Cedars Rd,"Clinton,MD,20735",Prince George's,Settlement Agreement,Eisgruber,04/22/2015,09/15/2015,Non-Tidal Wetlands;Notice of Intent,Notice of Intent (Construction)
,71068,G & G Ventures,7443 Shipley Avenue,"Harmans,MD,21077",Anne Arundel,"Complaint, Order, Penalty",C11-160993,04/29/2011,,Non-Tidal Wetlands;Sediment,
,74039,Tucker Homes Llc/prev. Terra Firma Llc.,MELSON RD,"Delmar,MD,21875",Wicomico,Required Confirmation,Patrick Noyes,,11/02/2016,Not Applicable,
,75852,"WeCare Denali, LLC",7800 Kabik Ct.,"Woodbine,MD,21797",Carroll,Settlement Agreement,SA-18-2480,07/17/2017,05/13/2022,Surface Water Discharge Permit,Industrial Minor
,76935,Kuzzens Packing,29643 Kingston Lane,"Westover,MD,21871",Somerset,Settlement Agreement,SAP-13-1935,05/21/2013,05/21/2013,Groundwater Discharge Unauthorized,Industrial Minor
,76978,"Vanloon, Lawrence A/pier  And  Boatlift",5923 Castle Haven Road,"Cambridge,MD,21613",Dorchester,Consent Order,SA-16-2370,02/03/2016,12/10/2019,Non-Tidal Wetlands;Tidal Wetlands,
,79383,C S Tarbutton Inc/21843 Dover Bridge Rd/,21843 DOVER BRIDGE RD,"Bethlehem,MD,21609",Caroline,,,,12/04/2018,Not Assigned,
,80959,JNP Capital Management LLC-Main Heights,Between 5730 and 5736 Mains Lane,"Frederick,MD,21701",Frederick,Settlement Agreement,Eisgruber,11/13/2014,04/22/2015,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction)
,85056,WSSC Rocky Gorge WPS,7400 Brooklyn Bridge Road,"Laurel,MD,20707",Prince George's,Penalty Settlement,C-15-2223,02/24/2015,03/24/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,88666,David & Janet Ewing Property,3105 Ervin Ct,"Annapolis,MD,21403",Anne Arundel,Penalty Settlement,PS-14-2000,03/21/2014,11/12/2013,Tidal Wetlands,
,89976,"Community College At Ba Co, Essex/swm",7201 ROSSVILLE BLVD,"Essex,MD,21221",Baltimore,Penalty Settlement,"Bull, Kevin",06/30/2015,07/24/2015,Surface Water Discharge Unauthorized,Municipal Minor
,90947,Aa Dpw/cayuga Farms Interceptor Sewer/,UPTON RD,"Severn,MD",Anne Arundel,Penalty Settlement,PS-14-1988,09/03/2013,11/21/2013,Non-Tidal Wetlands;Sediment,
,99881,Mark Vogel Co/vogel Charlotte Hall/swm,FRNTS E OF RT 5 & N OF MOUNT WOLF RD,"Charlotte Hall,MD,20622",St. Mary's,Settlement Agreement,SAP-14-2051,01/27/2014,08/27/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,102425,P&J Construction - Cold Spring Site,Cold Spring Lane,"Baltimore City,MD",Baltimore City,Consent Decree,CJ-21-2692,02/10/2021,,Sediment;Stormwater Management,Industrial Stormwater
,103186,Greensboro Regional WWTP,near MD Rte 313 & MD Rte 480,"Greensboro,MD,21639",Caroline,Consent Order,CA-17-2428,01/17/2017,02/25/2020,Surface Water Discharge Permit,Municipal Minor
,103186,Greensboro Regional WWTP,near MD Rte 313 & MD Rte 480,"Greensboro,MD,21639",Caroline,Required Confirmation,Jess Herpel,02/13/2020,02/25/2020,Surface Water Discharge Permit,Municipal Minor
,104961,Adkins Arboretum Parking Lot Alive,"38.927461 -75.944091, Tuckahoe State Park","Ridgely,MD,21660",Caroline,Penalty Settlement,PS-16-2318,09/25/2015,10/14/2015,Notice of Intent;Sediment,
,105542,Construct water transmission main & an access rd near Rte 50,38.946636 -76.824510,"Bowie,MD,20720",Prince George's,Penalty Settlement,PS-19-2576,01/22/2019,02/05/2019,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction)
,111958,"Mona, Scott/port Tobacco Marina/dredging",7610 Shirley Boulevard,"Port Tobacco,MD,20677",Charles,Settlement Agreement,SAP-13-1814,12/21/2012,08/26/2013,Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands,Notice of Intent (Construction)
,113147,"Eddins, Arlie/boathouse  And  Pilings",11815 Hilltop Rd,"Lusby,MD,20657",Calvert,Penalty Settlement,,07/12/2012,07/12/2012,Tidal Wetlands,
,113413,"Runway 15R-33L, RSA, Pavement Rehab & Standards Compliance",39.1779633 -76.6750929,"BWI Airport,MD,21240",Anne Arundel,Penalty Settlement,,02/26/2015,03/26/2015,Sediment,
,116515,Winchester Homes - Poplar Run,13501 LAYHILL RD,"Silver Spring,MD",Montgomery,Penalty Settlement,C-16-2350,12/14/2015,12/23/2015,Sediment;Waterway Construction,Notice of Intent (Construction)
,126430,Darryl Ritter,23209 Gilpin Point Rd,"Preston,MD,21655",Caroline,,,11/07/2019,11/17/2020,Tidal Wetlands,
,126488,Liberty Yacht Club Inc,64 Old South River Rd,"Edgewater,MD,21037",Anne Arundel,Consent Decree,Arno Laud,01/03/2018,07/16/2018,Tidal Wetlands,
,127463,"K and P Builders-Kingsview Subdivision, Sec 6B",Tottenham Drive,"White Plains,MD,20695",Charles,Penalty Settlement,C-17-2448,03/24/2017,04/26/2017,Sediment,
,129269,Ellis Shortt,21955 Newtown Rd,"Leonardtown,MD,20650",St. Mary's,,,,04/29/2012,Not Assigned,
,129643,MTA/Dunkirk Park & Ride Facility,Near Town Center Blvd,"Dunkirk,MD,20754",Calvert,Penalty Settlement,C-15-2174,11/17/2014,01/14/2015,Sediment,
,129786,Brock Parker Property- Lots 1 & 2 Rockawalkin Rd.,Rockawalkin Rd,"Salisbury,MD,21801",Wicomico,,,,,Not Assigned,
,129786,Brock Parker Property- Lots 1 & 2 Rockawalkin Rd.,Rockawalkin Rd,"Salisbury,MD,21801",Wicomico,,,,,Not Assigned,
,129875,160 Bamboushay Lane Louis Stone III,160 Bamboushay Lane,"Dowell,MD,20629",Calvert,Consent Order,,12/12/2012,09/14/2014,Tidal Wetlands,
,130511,Kinnamon Meadows,Cedar Street,"Greensboro,MD,21639",Caroline,Penalty Settlement,SAP-12-1646,05/04/2012,04/17/2012,Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction)
,130511,Kinnamon Meadows,Cedar Street,"Greensboro,MD,21639",Caroline,Penalty Settlement,SAP-12-1656,05/04/2012,04/27/2012,Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction)
,130570,Axtell 1925 Chimney Lane,1925 Chimney Lane,"Saint Leonard,MD,20685",Calvert,,,,03/24/2011,Not Applicable,
,131247,Stoney's Banquet Facility,3946 Oyster House Road,"Prince Frederick,MD,20678",Calvert,Penalty Settlement,SA-13-1852,02/13/2013,01/28/2013,Sediment,
,131977,Murphy's Run Phase I,Liberty Grove Rd.,"Colora,MD,21917",Cecil,Penalty Settlement,,05/29/2012,08/27/2012,Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction)
,132263,D. W. Burt Concrete Construction,1802 Northwood Drive,"Salisbury,MD,21801",Wicomico,Administrative Order,SC-O-12-1517,,12/29/2010,Not Applicable,
,132263,D. W. Burt Concrete Construction,1802 Northwood Drive,"Salisbury,MD,21801",Wicomico,Administrative Order,SC-O-12-1518,,12/29/2010,Not Applicable,
,132263,D. W. Burt Concrete Construction,1802 Northwood Drive,"Salisbury,MD,21801",Wicomico,Required Confirmation,SC-O-12-1516,,12/29/2010,Not Applicable,
,132279,11780 Mill Bridge Rd,11780 Mill Bridge Rd,"Lusby,MD,20657",Calvert,,,,06/25/2015,Not Applicable,
,132513,Yoos @ Hillside Rd.,Skippers Lane,"Chestertown,MD,21620",Kent,Penalty Settlement,PS-13-1922,05/21/2013,07/09/2013,Sediment,
,132742,Sherwood Forest Club Inc - Beach Rd,Beach Rd (Community Property),"Sherwood Forest,MD,21405",Anne Arundel,"Complaint, Order, Penalty",PS-11-1353,05/15/2012,05/23/2013,Tidal Wetlands,
,133259,S/C Odenton III LLC-Odenton Nevamar,8305 Telegraph Rd,"Odenton,MD,21113-1397",Anne Arundel,Penalty Settlement,PS-12-1795,11/05/2012,12/17/2012,Non-Tidal Wetlands,Notice of Intent (Construction)
,133419,Delmarva Power and Light Company-Easton to Todd,"672 West Glenwood Ave, Easton to MD 307, Hurlock","Easton,MD,21601",Talbot,Penalty Settlement,PS-14-2008,07/16/2013,07/16/2013,Sediment,
,133628,Eggleston Disposal Site,"Lot 43, 1506 Broadford Rd","Oakland,MD,21550",Garrett,Penalty Settlement,PS-13-1945,04/11/2012,06/07/2013,Non-Tidal Wetlands;Sediment,
,134303,6505 UTC Metro One Belcrest Rd,"6505  Belcrest Rd, UTC Metro One","Hyattsville,MD,20782",Prince George's,Penalty Settlement,SA-14-2110,07/30/2014,08/25/2014,Surface Water Discharge Unauthorized,Industrial Minor
,135304,Luke Paper Company Fill Site - GP#: 2008-090,"Seldom Seen Rd, 0.8 miles West of Bloomington","Bloomington,MD,21523",Garrett,Penalty Settlement,Arno Laud,08/30/2011,09/11/2018,Notice of Intent;Sediment;Surface Water Discharge Permit,Industrial Major
,135433,John Bohlen /3820 Chestnut Rd,3820 Chestnut Rd,"Middle River,MD,21220",Baltimore,Settlement Agreement,SAP-15-2131,09/02/2014,09/30/2014,Tidal Wetlands,
,135563,Sahlin Farm Rd,916 Sahlin Farm Rd,"Annapolis,MD,21401",Anne Arundel,Settlement Agreement,SAP-13-1760,09/12/2012,10/10/2012,Sediment,
,136204,Clyde Stolter sediment,Blairs Valley Rd,"Clear Spring,MD,21722",Washington,,,,,Not Assigned,
,136349,Rolling Oaks Subdivision,Rolling Oaks Subdivision,"Ellerslie,MD,21529",Allegany,Consent Order,ACO-16-2388,04/18/2016,,Notice of Intent;Sediment;Stormwater Management,Notice of Intent (Construction)
,136349,Rolling Oaks Subdivision,Rolling Oaks Subdivision,"Ellerslie,MD,21529",Allegany,Settlement Agreement,SAP-13-1863,02/28/2013,07/18/2013,Notice of Intent;Sediment;Stormwater Management,Notice of Intent (Construction)
,136708,WSSC-Collington Elevate Water Storage Facility,15650 Leeland Road,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,C-15-2189,12/16/2014,01/20/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,136736,"US Army, Fort Meade-AWC HQ Complex",AWG security boardwalk/At the intersection of Huber Rd and Morrsion Street,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,C-13-1927,05/06/2013,08/02/2013,Sediment,
,136766,Calvert County Water & Sewerage on N Prince Frederick Blvd,N Prince Frederick Blvd across from library,"Prince Frederick,MD,20678",Calvert,Settlement Agreement,SAP-13-1713,07/27/2012,09/14/2014,Sediment,
,136929,Darvin Moon,"Trout Run/Laurel Run, Steyer Mine Rd","Oakland,MD,21550",Garrett,Penalty Settlement,AOP-13-1867,03/05/2013,11/13/2013,Sediment;Waterway Construction,
,136929,Darvin Moon,"Trout Run/Laurel Run, Steyer Mine Rd","Oakland,MD,21550",Garrett,Penalty Settlement,SAP-14-2011,03/05/2013,11/13/2013,Sediment;Waterway Construction,
,137195,205 Sugar Notch Rd,205 Sugar Notch Rd,"Prince Frederick,MD,20678",Calvert,Settlement Agreement,Arno Laud,03/12/2013,12/06/2013,Sediment,
,137478,12525 Vanous Rd,"12525 Vanous Rd, Dean Rose","Dunkirk,MD,20754",Calvert,Complaint & Penalty,AP-16-2316,10/16/2015,01/11/2016,Non-Tidal Wetlands;Sediment,
,137753,Garrison Forest School,300 Garrison Forest Road,"Owings Mills,MD,21117",Baltimore,Penalty Settlement,Julie Gowe,11/05/2014,11/05/2014,Surface Water Discharge Unauthorized,
,137989,Peter and Tamara Cofer,13540 Osprey Ln,"Solomons,MD,20688",Calvert,Penalty Settlement,SAP-13-1717,08/02/2012,09/05/2012,Tidal Wetlands,
,138308,Annapolis Harbor South LLC,2818 Solomons Island Rd,"Edgewater,MD,21037",Anne Arundel,Settlement Agreement,SA-15-2234,03/31/2015,05/06/2015,Sediment;Tidal Wetlands,
,138706,Doug Clark,5073 Grays Inn Creek Rd,"Rock Hall,MD,21661",Kent,Consent Order,CO-19-2588,05/20/2019,12/10/2019,Tidal Wetlands,
,138707,Maryland Protron Treatment Center,850 W Baltimore St,"Baltimore City,MD,21201",Baltimore City,Penalty Settlement,PS-13-1800,11/20/2012,11/20/2012,Notice of Intent,Notice of Intent (Construction)
,138778,Near 8841 Willowbrook Rd Frederick,Near 8841 Willowbrook Rd,"Frederick,MD,21702",Frederick,Settlement Agreement,AP-11-1187,04/23/2013,04/30/2013,Sediment;Surface Water Discharge Permit,Industrial Stormwater
,138853,Roy Droege,535 Maryland Avenue,"Lusby,MD,20657",Calvert,Penalty Settlement,C-14-2003,09/20/2013,12/23/2013,Sediment,
,139385,Sharpless Mine Rd,Mt. Zion Rd,"Swanton,MD,21561",Garrett,Penalty Settlement,SA-14-2049,04/24/2013,02/18/2014,Sediment,
,139397,US Cellular Oakland South,"off KIng Wildesen Rd, Windmill Rd","Oakland,MD,21550",Garrett,Penalty Settlement,13-GA-0006,03/26/2013,04/03/2013,Sediment,
,139397,US Cellular Oakland South,"off KIng Wildesen Rd, Windmill Rd","Oakland,MD,21550",Garrett,Penalty Settlement,C-13-1892,03/26/2013,04/03/2013,Sediment,
,140140,"US NSA-Ft Meade, Building 1",Rockenbach Road,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,C-15-2190,12/15/2014,01/14/2015,Sediment,
,140392,"Teegarden, 5402 Buffalo Road-NTW",5402 Buffalo Rd,"Mount Airy,MD,21771",Frederick,Consent Order,,04/30/2018,06/07/2019,Sediment,
,140425,SMR Investments LLC,"310 Gay St, District Court Bldg","Cambridge,MD,21613",Dorchester,Stipulated Penalty,SP-14-2098,06/10/2014,07/08/2014,Surface Water Discharge Permit,Municipal Minor
,140577,Oxon Hill Village SSO,5792 Virginia Ave,"Oxon Hill,MD,20745",Prince George's,Settlement Agreement,Linda Eisgruber,02/19/2015,03/02/2015,Sediment;Surface Water Discharge Unauthorized,
,140826,712 E Shore Rd,712 E Shore Rd,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,PS-14-2020,10/04/2013,12/20/2013,Sediment;Tidal Wetlands,
,140984,Saint Charles High School,5305 Piney Church Rd,"Waldorf,MD,20602",Charles,Penalty Settlement,PS-14-1974,07/12/2013,09/09/2013,Notice of Intent,Notice of Intent (Construction)
,141320,Thurmont Community Ambulance Company,"Jimtown Road/Lawyer Lane, west of Rt 550 (jimtown Road) between Lawyer Lane and Woodland Avenue","Thurmont,MD,21788",Frederick,Penalty Settlement,Joe Bieberich,06/07/2016,06/18/2016,Notice of Intent;Sediment,Notice of Intent (Construction)
,141358,Meadowlark Ave/Bluebird Ave,Meadowlark Ave,"Hagerstown,MD,21742",Washington,Penalty Settlement,PS-14-2044,12/23/2013,01/17/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,141478,Ponds 1522 Linthicum Rd,1522 Linthicum Rd,"Dickerson,MD,20842",Montgomery,Penalty Settlement,Eisgruber,05/21/2015,06/04/2015,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction)
,141937,Maywood Lane WSSC pumping operation,Silver Hill Rd and Maywood La,"Suitland,MD,20746",Prince George's,Penalty Settlement,C-14-2060,03/06/2014,03/27/2014,Sediment,
,141989,BGE Tipton Terminal Station,39.0937585 -76.7645354,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,,12/15/2014,01/09/2015,Non-Tidal Wetlands;Sediment,
,142671,WLR Automotive Group,2260 Solomons Island Road,"Huntingtown,MD,20639",Calvert,Penalty Settlement,15-DP-3248,05/16/2018,06/06/2018,Groundwater Discharge Permit,
,142794,PointsReach/BuildingB/OceanPines,"Points Reach (Condos), Tax Map 0021, Parcel 0317, forested area behind Building B","Berlin,MD,21811",Worcester,Settlement Agreement,Julie Gowe,12/04/2014,04/23/2015,Non-Tidal Wetlands,
,143022,"Oliver Property, Ditch and Road through forested area","Melson Rd, East of the intersection of Rum Ridge Road","Delmar,MD,21875",Wicomico,Penalty Settlement,Kevin Bull,04/17/2015,05/07/2015,Non-Tidal Wetlands,
,143786,Brian Smith,15077 Potomac River Drive,"Cobb Island,MD,20625",Charles,,ACO-20-2617,09/17/2019,,Tidal Wetlands,
,144277,John Sines,Monta Vista Rd. and Rt.219 South,"Oakland,MD,21550",Garrett,"Complaint, Order, Penalty",Joe Bieberich,11/09/2016,03/24/2017,Non-Tidal Wetlands;Sediment;Waterway Construction,Notice of Intent (Construction)
,144601,Dollar General Nave's Crossroads,Nave's Crossroads,"Cumberland,MD,21502",Allegany,Complaint & Penalty,AP-16-2287,07/22/2015,03/29/2016,Notice of Intent;Sediment,Notice of Intent (Construction)
,144716,3235 Harness Creek Road,3235 Harness Creek Rd,"Annapolis,MD,21403",Anne Arundel,Consent Order,COP-18-2488,09/28/2017,,Tidal Wetlands,
,144805,Rockfish Solar LLC,4370 Renner Road,"Waldorf,MD,20602",Charles,Penalty Settlement,C-16-2285,07/31/2015,09/29/2015,Sediment,
,146252,"Agricopia Sections 8,9, condo 2 end of Llano Dr., La Plata","Agricopia Sec8,9, condo 2, end of Llano Dr.","La Plata,MD,20646",Charles,Penalty Settlement,C-15-2264,06/04/2015,06/17/2015,Sediment,
,148049,Lystra Meadows,10808 Greenspring Ave,"Lutherville Timonium,MD,21093",Baltimore,Penalty Settlement,PS-16-2298,08/14/2015,09/09/2015,Notice of Intent,Notice of Intent (Construction)
,148166,Swan Harbor Dell Ltd-36 to 40 Walnut Street,36 to 40 Walnut Street,"Aberdeen,MD,21001",Harford,Penalty Settlement,PS-18-2520,04/05/2018,04/24/2018,Non-Tidal Wetlands,
,148244,Lakeside estates,4690 Mountain Rd,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,C-16-2329,09/29/2015,10/21/2015,Notice of Intent,Notice of Intent (Construction)
,150851,Potomac Edison New Market,between 144 and 70 ramp,"New Market,MD,21774",Frederick,Penalty Settlement,Joe Bieberich,03/21/2016,04/21/2016,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction)
